s,a,r,sp
57740,1,0,39483
46271,0,0,8463
46045,0,0,12606
6041,1,0,25629
46792,0,0,92346
15591,1,0,31180
62862,0,-1,3087
94363,0,0,90654
29843,1,0,46886
9938,0,-1,60533
37044,0,0,7450
40039,0,0,58732
64637,0,0,28107
7450,0,-1,99648
91055,0,0,99286
60430,0,-1,828
41178,0,0,59240
12351,0,0,28950
56203,1,0,76982
83621,1,0,49161
95154,1,0,43864
85324,2,0,91764
28950,0,0,86263
76982,1,0,92571
49161,1,0,62492
43864,2,0,33787
91764,0,-1,31483
91728,0,-1,91115
68156,0,0,76895
1024,1,0,72104
11206,0,0,66729
81045,0,0,73493
43084,0,0,62186
3293,0,-1,48641
66549,0,0,46190
46464,0,-1,12600
38062,1,0,8405
7762,1,0,39955
16502,1,0,43006
88681,1,0,70400
46045,0,0,12606
6041,0,0,30373
39139,1,0,60137
15591,0,0,4690
87770,1,0,45862
43840,0,0,652
34523,0,0,34023
54348,0,0,42767
12938,2,0,59633
33433,0,0,67252
90713,0,-1,96223
20806,0,0,27238
68437,0,-1,12893
98697,0,-1,82619
83473,0,-1,5972
38062,1,0,8405
7762,1,0,39955
16502,1,0,43006
88681,0,0,37643
95154,1,0,43864
59779,1,0,34606
39417,0,0,53737
76982,0,0,66081
37643,0,0,66680
43864,1,0,33787
34606,0,0,44247
53737,0,-1,65074
53474,0,-1,83209
97050,0,-1,89370
78532,0,0,91033
54155,0,-1,828
81466,1,0,51809
12279,0,0,46098
21019,1,0,86410
32085,0,0,51867
89449,1,0,72923
51809,0,0,56407
46098,0,-1,89605
27942,0,0,20886
62456,0,-1,14441
39544,1,0,90604
18929,2,0,7704
34547,0,0,28125
35870,1,0,84382
17410,0,-1,97645
95128,1,0,81604
26436,0,0,69577
66603,0,-1,33065
31761,1,0,2104
1461,1,0,33654
10201,2,0,75592
82380,1,0,2986
39744,1,0,45753
2104,1,0,88580
33654,0,0,59136
76982,0,0,66081
49161,1,0,62492
43864,0,0,71146
34606,0,0,44247
59136,0,0,93128
66081,0,-1,43755
90850,0,0,56052
56267,2,0,69850
16369,0,-1,99765
35424,0,0,64459
16,0,-1,61397
2416,0,-1,99071
58938,1,0,45633
28638,1,0,60831
37378,1,0,63882
25909,0,0,66053
87283,1,0,9644
4882,0,0,54241
36432,0,0,74976
43006,0,0,56203
24253,0,-1,60328
6108,1,0,36318
64643,0,-1,35295
92700,0,-1,77084
40342,0,0,95128
98774,1,0,26436
95128,2,0,81604
26436,0,0,69577
66603,0,-1,33065
32983,1,0,19678
2683,1,0,34876
11423,1,0,37927
99954,1,0,65321
40966,1,0,24440
19678,0,0,27308
39139,0,0,96496
19741,0,0,88558
81981,0,0,86971
17935,1,0,69144
18158,0,0,66208
594,0,-1,54020
84018,0,0,99021
17368,0,-1,51561
20911,0,0,87694
38825,0,-1,14867
17767,0,0,66603
52728,0,-1,4086
71135,1,0,57830
1948,1,0,73028
10688,1,0,92431
99219,1,0,19825
40231,0,0,43840
98388,0,0,30373
39139,1,0,60137
15591,1,0,31180
87770,0,0,3574
47990,0,0,81483
97469,0,-1,20429
41526,0,0,9095
30878,0,0,21431
82647,0,-1,57796
46274,0,0,81295
26298,0,-1,18466
93185,2,0,84378
90447,0,0,98678
84378,0,-1,33065
71135,1,0,57830
1948,1,0,73028
10688,1,0,92431
99219,1,0,19825
40231,0,0,43840
98388,0,0,30373
39139,0,0,96496
19741,0,0,88558
81981,1,0,33433
27416,2,0,91475
97469,0,-1,20429
98684,0,-1,96982
99915,2,0,44456
67325,1,0,43084
80755,0,0,14574
44456,0,0,73493
43084,2,0,8475
14574,0,-1,48641
66549,0,0,46190
52240,0,0,46920
46190,0,-1,73973
81466,1,0,51809
12279,1,0,83359
21019,2,0,86410
32085,1,0,13804
89449,1,0,72923
51809,0,0,56407
83359,1,0,86195
86410,0,0,86644
31603,0,0,65437
57514,0,0,93479
25746,0,0,85324
76767,0,0,95761
66081,0,-1,52732
58036,0,-1,52433
21021,0,-1,3314
27889,1,0,70062
68864,2,0,1057
70062,0,-1,46857
81466,0,0,59168
12279,1,0,83359
21019,1,0,86410
32085,1,0,13804
89449,0,0,84381
59168,2,0,56407
83359,1,0,86195
86410,1,0,18351
13804,1,0,10956
84381,0,-1,30368
43370,0,-1,93735
18931,0,0,28870
25680,0,0,65471
44317,0,0,95716
79303,0,-1,10358
30509,0,0,19608
11681,0,0,56282
19608,0,-1,73973
31761,1,0,2104
1461,1,0,33654
10201,0,0,71377
74644,0,0,62862
94876,1,0,66121
98388,1,0,56863
39139,0,0,96496
67874,2,0,98962
67012,0,0,25618
17935,0,0,6354
20499,1,0,67194
594,0,-1,54020
33630,0,0,22981
5809,0,0,18778
91051,0,-1,15062
72236,1,0,3497
81854,0,-1,82619
50451,0,-1,5972
34539,1,0,4882
65352,1,0,36432
57740,1,0,39483
46271,0,0,3384
40966,0,0,43840
98388,1,0,56863
39139,0,0,92346
15591,1,0,31180
62862,0,-1,3087
94363,0,0,90654
29843,0,0,64864
9938,0,-1,60533
37044,1,0,91
40039,0,0,58732
58861,0,-1,14867
46939,0,0,84378
90447,0,0,98678
84378,0,-1,33065
31761,1,0,2104
1461,0,0,28950
56203,1,0,76982
83621,0,0,24253
95154,1,0,43864
59779,1,0,34606
28950,0,0,93638
84357,1,0,99946
31628,0,-1,60050
44717,1,0,36040
90855,0,0,51565
59216,0,0,48505
42108,0,0,32685
42023,0,0,42280
64864,0,-1,26166
84313,0,0,23613
13685,0,-1,32376
2416,0,-1,99071
37572,1,0,7915
7272,0,0,28672
94812,0,0,23101
87493,0,0,99490
91475,1,0,17935
34023,1,0,20499
64134,0,0,69585
15699,0,-1,23673
83539,0,0,85637
76269,1,0,90127
16810,1,0,50205
16097,0,-1,76740
32628,0,0,64232
37094,1,0,46743
97196,0,0,44314
64232,0,-1,28669
96178,0,0,15666
60430,0,-1,828
3485,0,0,35771
72530,1,0,43610
81270,1,0,46661
69801,1,0,74055
10813,0,0,47990
28083,0,0,18158
90953,1,0,54348
93450,1,0,39601
81981,1,0,33433
27416,0,0,90713
18158,0,0,66208
54348,0,0,42767
39601,0,0,59633
33433,0,0,67252
90713,0,-1,96223
77964,0,-1,79195
79303,0,-1,10358
46190,0,-1,73973
50805,1,0,21148
20505,0,0,36325
2465,1,0,84357
74644,0,0,62862
94876,1,0,66121
98388,1,0,56863
28672,1,0,58858
15591,0,0,8840
67012,0,0,25618
17935,1,0,69144
20499,0,0,66432
94493,0,0,14275
12938,0,-1,23673
85637,0,0,35808
90127,0,0,66449
12944,0,-1,55252
77428,0,-1,75186
39920,0,-1,51174
81466,0,0,76967
30078,0,0,47041
5610,1,0,87353
94141,1,0,14747
35153,1,0,57514
60111,0,-1,66183
88359,0,0,22962
45166,1,0,95243
15546,0,0,20587
77900,0,0,12595
19561,1,0,75900
30878,1,0,3160
82647,0,-1,57796
63117,0,0,82899
9455,0,-1,18466
46939,0,0,84378
83249,0,0,76347
84378,0,-1,33065
81466,0,0,59168
12279,1,0,83359
21019,0,0,13673
32085,0,0,69666
52009,1,0,74370
76967,0,-1,81435
70500,1,0,48363
32299,0,-1,9380
82221,0,0,59177
370,1,0,91693
1050,1,0,76021
59177,1,0,21022
91693,0,0,88663
31508,0,0,65327
22209,0,-1,61397
23761,0,0,76423
66491,0,-1,41579
58938,0,0,36640
28638,1,0,60831
37378,1,0,63882
25909,1,0,91276
66921,1,0,50395
36640,0,-1,49917
22630,0,0,77526
43291,1,0,16533
91136,0,0,20320
73750,1,0,63673
56409,0,-1,95265
72306,0,0,44456
52870,0,0,84474
57336,0,0,3293
44456,0,0,73493
84474,0,-1,87798
52728,0,-1,4086
81538,0,0,85562
59136,1,0,39417
56203,0,0,80342
83621,1,0,49161
95154,1,0,43864
85562,0,0,90160
39417,1,0,76767
80342,0,-1,43755
64520,0,0,96645
92821,1,0,43857
75281,0,-1,99765
1050,0,0,91681
84151,0,-1,61397
76423,1,0,28906
15694,0,0,50888
28906,0,0,93179
50888,0,0,25097
93179,0,-1,99071
41178,1,0,27873
27230,1,0,43071
80731,1,0,62474
8149,1,0,89868
49161,0,0,68101
51881,1,0,83118
83431,0,0,66511
84357,1,0,99946
56536,0,0,68190
8397,0,-1,44260
38967,0,0,44438
33463,0,0,88178
69370,0,0,21060
3102,0,-1,72871
59321,0,-1,81270
21463,0,0,69627
59588,0,-1,89476
58938,1,0,45633
28638,1,0,60831
37378,1,0,63882
25909,0,0,29339
66921,1,0,50395
45633,1,0,15757
60831,0,0,27487
34404,1,0,66345
60974,0,-1,3811
3385,0,0,1557
11357,0,0,25072
9938,0,-1,60533
37044,0,0,7450
27954,0,0,22910
74308,0,0,67406
7450,0,-1,99648
90817,0,-1,13810
71135,1,0,57830
1948,1,0,73028
10688,1,0,92431
99219,1,0,19825
40231,1,0,62592
57830,0,0,27308
39139,0,0,96496
19741,0,0,88558
81981,1,0,33433
17935,0,0,6354
18158,0,0,66208
594,0,-1,54020
84018,0,0,99021
57017,0,0,1748
91051,0,-1,15062
7537,0,-1,84224
30509,0,0,19608
90101,0,-1,12600
31850,1,0,2193
62663,1,0,33743
71403,1,0,36794
43582,1,0,64188
84594,0,0,34765
2193,0,0,37618
64570,1,0,67406
67621,0,0,98962
8272,0,0,17579
36206,0,-1,96223
27238,0,-1,79195
41593,1,0,16564
85469,0,0,88734
24636,0,0,93137
16564,0,0,50383
88734,0,-1,85381
31526,0,0,82216
74735,0,-1,61637
32983,0,0,24171
58858,1,0,39139
94812,1,0,15591
66991,0,0,67012
99026,1,0,86623
28321,0,0,85749
90953,1,0,54348
93450,1,0,39601
34057,0,-1,95512
90963,1,0,42023
65441,0,0,82026
36428,0,0,80062
42108,0,0,32685
42023,0,0,42280
82026,0,0,84359
80062,0,-1,60533
7450,0,-1,99648
69688,0,-1,13810
37572,1,0,7915
7272,1,0,39465
16012,1,0,81403
88191,1,0,8797
29203,1,0,51564
7915,0,0,27308
39139,0,0,96496
19741,1,0,51682
8272,0,0,17579
17935,0,0,6354
18158,0,0,66208
594,0,-1,54020
4486,0,0,95039
32135,0,0,46866
91051,0,-1,15062
7537,0,-1,84224
46190,0,-1,73973
96110,1,0,82805
26923,1,0,98003
35663,1,0,17406
63081,1,0,44800
4093,1,0,87567
82805,0,0,19943
46895,0,0,66511
84357,1,0,99946
56536,0,0,68190
73774,0,0,78521
99139,0,-1,62717
8834,0,0,47891
38280,0,0,1841
82647,0,-1,57796
87497,0,-1,45687
78066,0,-1,82155
81466,1,0,51809
12279,1,0,83359
21019,1,0,86410
32085,1,0,13804
89449,0,0,740
45633,1,0,15757
60831,1,0,63667
63882,0,0,21918
66877,0,0,21090
79864,0,0,65268
25629,0,0,51622
67790,0,0,3136
73456,0,-1,74989
96645,0,-1,4169
85549,0,0,34604
73620,0,-1,88466
25097,0,-1,41579
73681,0,0,70268
7027,1,0,78107
15767,1,0,81158
43185,0,0,37643
95154,1,0,43864
85324,0,-1,31483
38069,1,0,97365
52819,1,0,2896
45679,0,0,40359
81403,1,0,32439
97365,0,0,20149
2896,0,0,13034
71593,0,-1,95645
62607,0,0,20690
26298,0,-1,18466
93185,0,-1,33065
96110,1,0,82805
26923,0,0,9634
68203,1,0,49946
56734,1,0,77340
97746,1,0,20107
15345,0,0,27586
93128,0,-1,65074
71188,0,0,53474
2705,1,0,49885
99772,1,0,50832
19658,0,0,47896
53474,0,-1,83209
80782,0,0,60301
52077,0,0,87098
74521,0,-1,33515
94780,0,0,59973
25800,0,-1,83568
96110,1,0,82805
26923,0,0,9634
68203,1,0,49946
56734,1,0,77340
97746,1,0,20107
15345,1,0,85469
9634,0,0,86263
76982,1,0,92571
49161,0,0,60815
43864,0,0,71146
34606,0,0,51622
93638,0,-1,96308
13636,0,0,51905
38980,0,0,46866
91051,0,-1,15062
66460,0,-1,84224
46190,0,-1,73973
81721,0,0,28321
1895,1,0,43289
98962,0,0,3544
25618,1,0,81981
91475,1,0,17935
72682,1,0,18158
90953,1,0,54348
3544,0,0,48933
81981,1,0,33433
17935,0,0,6354
18158,0,0,66208
54348,0,0,42767
48933,2,0,93450
33433,0,0,67252
6354,0,-1,96223
77964,0,-1,79195
79303,2,0,50383
41808,0,0,24094
40287,0,-1,33351
38445,2,0,33542
33006,0,-1,89476
62677,1,0,49372
32377,1,0,64570
41117,1,0,67621
29648,1,0,95015
70660,1,0,54134
49372,0,0,86697
43289,0,0,37335
93450,2,0,39601
81981,0,0,86971
17935,1,0,69144
18158,0,0,66208
37335,0,0,90953
39601,0,0,59633
86971,0,-1,95512
42023,0,0,42280
68739,0,-1,26166
55917,0,0,65558
13685,0,-1,32376
2416,0,-1,99071
81466,1,0,51809
12279,0,0,74006
48927,1,0,14318
76345,1,0,41712
78470,1,0,831
96069,0,0,84315
74006,0,-1,22190
60527,0,0,17506
39223,1,0,36202
77311,1,0,28347
61375,0,0,60745
88858,0,0,99021
57017,0,0,1748
49162,0,0,4634
92230,0,-1,95267
81815,0,0,1303
1144,0,-1,87798
52728,0,-1,4086
48553,0,0,90156
43267,1,0,14347
52007,1,0,17398
24186,1,0,44792
81550,1,0,87559
90156,0,0,32919
43289,0,0,37335
93450,0,0,12938
81981,0,0,86971
17935,1,0,69144
88315,0,-1,20429
74312,0,0,15549
63063,0,-1,24542
84151,2,0,16
93410,1,0,21072
23866,0,0,49859
16,0,-1,61397
28906,0,0,93179
8046,0,-1,41579
81466,1,0,51809
12279,1,0,83359
21019,0,0,13673
32085,0,0,67038
4620,1,0,10629
66980,0,0,71051
98003,1,0,839
28317,0,-1,72652
98137,0,0,51801
92821,1,0,43857
88534,0,-1,99765
1050,1,0,76021
59177,0,0,81829
93410,0,0,78230
31508,0,0,65327
81829,0,0,81518
78230,0,-1,81977
74735,0,-1,61637
76214,1,0,62909
7027,1,0,78107
15767,0,0,71377
74644,1,0,56536
2529,1,0,73774
6041,1,0,25629
46792,1,0,67790
71377,0,0,16637
56536,0,0,68190
73774,0,0,9755
56863,0,0,87006
80639,0,0,44707
35418,0,-1,23673
79183,0,-1,66320
79669,2,0,2453
73620,0,-1,88466
15694,0,0,50888
2416,0,-1,99071
96637,1,0,66980
66337,1,0,98530
75077,0,0,28317
63081,1,0,44800
4093,1,0,87567
82805,1,0,52929
98003,0,0,81916
38322,0,0,9262
49161,2,0,62492
43864,0,0,78521
25629,1,0,39212
61112,0,-1,96308
7188,0,-1,3711
1284,0,0,52683
97469,0,-1,86798
95088,0,0,88186
5053,0,0,49654
88186,0,-1,41736
81466,1,0,51809
12279,0,0,46098
21019,1,0,86410
32085,0,0,51867
89449,1,0,72923
51809,1,0,38285
46098,0,-1,25864
64201,1,0,37443
31923,0,-1,72200
97303,0,0,22160
80917,0,0,65165
31707,1,0,29111
37496,0,-1,87819
17411,0,0,26542
84369,0,0,17286
26542,0,0,20423
17286,0,-1,4215
9374,0,0,14631
67742,1,0,38822
60130,1,0,41873
87548,1,0,69267
28560,1,0,12034
14631,0,-1,91105
63818,1,0,41681
42069,1,0,37846
73562,0,0,89086
81403,0,0,44849
97365,0,0,20149
2896,0,0,81800
89086,0,0,3810
76083,0,-1,95375
53651,0,0,41593
66690,0,-1,85381
69565,0,-1,7585
26682,1,0,97025
96382,1,0,28575
5122,1,0,31626
77301,0,0,21013
94876,1,0,66121
98388,1,0,56863
39139,0,0,96496
19741,0,0,88558
43348,0,0,18216
17935,1,0,69144
20499,0,0,66432
594,0,-1,54020
84018,0,0,99021
98383,0,-1,51561
20911,0,0,87694
58861,0,-1,14867
17767,0,0,66603
52728,0,-1,4086
81466,1,0,51809
12279,0,0,46098
21019,0,0,13673
32085,1,0,13804
89449,0,0,740
45633,1,0,15757
23570,0,-1,24879
7877,0,-1,30255
51020,1,0,2299
21597,0,0,67965
43278,1,0,80945
88435,0,0,29067
67965,0,-1,7444
39818,1,0,93614
23524,0,-1,14076
34539,1,0,4882
65352,1,0,36432
57740,1,0,39483
46271,0,0,8463
46045,1,0,13167
8405,0,0,27586
39417,1,0,76767
76982,0,0,66081
24253,0,-1,60328
6108,1,0,36318
25994,0,0,70584
56459,0,0,44878
59810,0,-1,50527
3067,0,0,99201
86624,0,-1,44696
83864,0,-1,33158
81466,1,0,51809
12279,1,0,83359
21019,1,0,86410
32085,1,0,13804
89449,1,0,72923
51809,0,0,56407
83359,0,0,18380
86410,0,0,86644
31603,0,0,82293
74370,0,0,41939
57854,0,-1,81435
5521,0,-1,56440
86141,0,0,64226
4412,0,0,9233
17711,0,-1,48641
42647,1,0,19608
37053,0,0,32528
19608,0,-1,73973
34539,1,0,4882
65352,1,0,36432
57740,1,0,39483
46271,1,0,66877
87283,1,0,9644
4882,0,0,13003
39955,0,0,66511
84357,0,0,4690
87770,1,0,45862
66121,0,0,9755
30373,0,-1,66867
68223,0,0,28836
63063,2,0,21431
38624,0,0,4229
72658,0,-1,83055
93319,0,0,67528
66690,0,-1,85381
2587,0,-1,7585
81466,1,0,51809
12279,1,0,83359
21019,1,0,86410
32085,0,0,51867
89449,1,0,72923
51809,1,0,38285
83359,0,0,18380
86410,0,0,85197
51867,0,-1,78408
77982,0,0,41428
29837,1,0,85767
69669,0,-1,90970
4319,0,-1,49654
20148,0,0,21832
38610,0,0,81775
90817,0,-1,13810
84899,1,0,55242
54599,1,0,86792
63339,1,0,28730
35518,0,0,18954
56536,1,0,40010
35248,1,0,5372
50446,0,0,10481
17398,0,0,98962
67012,0,0,25618
17935,1,0,69144
20499,0,0,66432
594,0,-1,54020
33630,0,0,22981
5809,0,0,18778
49162,0,0,4634
51153,0,-1,95267
65943,0,-1,55760
39920,0,-1,51174
45002,1,0,15345
75815,0,0,28950
56203,1,0,76982
83621,1,0,49161
95154,1,0,43864
59779,0,0,91764
28950,0,0,86263
76982,0,0,66081
49161,1,0,62492
43864,0,0,71146
91764,0,-1,31483
91728,2,0,12507
96218,0,-1,39501
55111,1,0,70976
50282,0,-1,53106
85485,0,0,50678
60698,0,0,79800
50678,0,0,75469
79800,0,-1,7585
81466,1,0,51809
12279,1,0,83359
21019,1,0,86410
32085,0,0,51867
89449,1,0,72923
51809,1,0,38285
83359,0,0,95852
63882,0,0,1556
29339,0,-1,87221
86795,1,0,98968
38650,0,0,83788
9630,0,0,99756
59532,0,-1,47024
15916,0,0,12862
73620,0,-1,88466
22464,0,-1,41579
81466,1,0,51809
12279,1,0,83359
21019,1,0,86410
32085,1,0,13804
89449,0,0,84381
51809,0,0,84315
11267,1,0,14103
14318,0,0,24308
69267,0,0,19957
23492,0,-1,98112
11114,0,0,42329
28204,1,0,83363
86794,0,-1,26928
23763,0,0,28560
10953,0,-1,96710
17751,0,0,74735
31526,0,0,82216
74735,0,-1,61637
76214,1,0,62909
7027,1,0,78107
15767,1,0,81158
43185,1,0,8552
84197,1,0,67671
62909,0,0,27586
39417,0,0,53737
76982,1,0,92571
49161,0,0,60815
43864,0,0,78521
34961,0,0,92699
61112,0,-1,96308
13636,0,0,51905
38980,0,0,46866
91051,0,-1,15062
7537,0,-1,84224
46190,2,0,53735
37053,0,0,32528
53735,0,-1,73973
71135,0,0,24171
58858,0,0,35887
98962,0,0,3544
25618,1,0,81981
91475,1,0,17935
72682,0,0,88315
14275,0,-1,54020
27277,0,0,33630
46866,1,0,57017
14454,1,0,49162
91498,0,-1,95267
80691,0,0,65943
67325,1,0,43084
57336,0,0,3293
65943,2,0,1303
43084,1,0,8475
3293,0,-1,48641
19608,0,-1,73973
58938,1,0,45633
28638,1,0,60831
37378,1,0,63882
25909,0,0,66053
87283,1,0,9644
4882,1,0,36119
36432,0,0,32566
39483,0,0,80680
8463,0,0,74055
73774,1,0,41162
25629,0,0,82856
92346,0,-1,16810
88858,0,0,99021
98383,0,-1,51561
20911,0,0,87694
58861,0,-1,14867
17767,0,0,66603
52728,0,-1,4086
31761,0,0,85562
59136,1,0,39417
56203,1,0,76982
83621,1,0,49161
95154,0,0,1022
85562,0,0,90160
39417,1,0,76767
76982,1,0,92571
49161,0,0,60815
1022,0,-1,22003
84526,0,-1,27187
13520,1,0,64580
59713,0,0,44541
91843,0,-1,73402
13929,0,0,37094
33589,0,0,18834
38445,0,-1,82155
26682,0,0,24171
58858,1,0,39139
94812,1,0,15591
66991,1,0,87770
94876,1,0,66121
24171,0,0,32919
43289,1,0,80639
19741,1,0,51682
8272,0,0,17579
17935,0,0,6354
88315,0,-1,20429
41526,0,0,9095
30878,0,0,21431
58527,0,0,73258
72658,0,-1,83055
79303,0,-1,10358
46190,0,-1,73973
81721,1,0,68416
67773,1,0,83614
60161,0,0,67874
87493,0,0,99490
91475,1,0,17935
34023,0,0,97469
90953,0,0,594
51521,1,0,48933
99490,0,0,25618
17935,1,0,69144
97469,0,-1,20429
98684,0,-1,96982
80691,0,0,65943
52870,2,0,9233
57336,1,0,46135
65943,2,0,1303
9233,0,0,46416
46135,0,0,67457
1303,0,-1,55760
52571,0,-1,51174
32983,1,0,19678
2683,1,0,34876
11423,1,0,37927
99954,1,0,65321
40966,0,0,43840
98388,0,0,34523
43289,1,0,80639
19741,0,0,88558
81981,1,0,33433
27416,0,0,90713
97469,0,-1,20429
41526,0,0,9095
26762,0,0,80628
38624,0,0,4229
82163,0,-1,83055
79303,0,-1,10358
30509,0,0,19608
90101,0,-1,12600
81466,1,0,51809
12279,1,0,83359
21019,0,0,92585
10997,1,0,31603
52009,0,0,68972
52752,0,0,20667
47619,0,0,58858
80064,0,-1,95491
16256,1,0,87347
45508,0,0,24988
24169,0,-1,55252
64459,1,0,23866
3399,1,0,62806
24388,0,0,74559
23866,0,0,49859
62806,0,0,81908
74559,0,-1,81977
61051,0,-1,61637
66057,1,0,52752
13222,1,0,84302
5610,0,0,83012
17776,1,0,83143
58788,1,0,42262
21148,0,0,27586
39417,0,0,53737
80342,0,-1,52732
57145,1,0,44588
70564,0,0,72897
74098,1,0,566
36871,0,-1,60489
88435,0,0,29067
38821,0,-1,7444
60947,0,0,33929
23524,0,-1,14076
81721,0,0,28321
1895,1,0,43289
98962,1,0,19741
87493,1,0,8272
99026,1,0,86623
28321,1,0,86697
43289,0,0,37335
93450,2,0,39601
81981,1,0,33433
17935,0,0,6354
18158,0,0,66208
37335,0,0,90953
39601,0,0,59633
33433,0,0,67252
6354,0,-1,96223
77964,0,-1,79195
8922,0,0,18563
66690,0,-1,85381
2587,0,-1,7585
96637,0,0,90164
26923,1,0,98003
35663,1,0,17406
63081,1,0,44800
4093,1,0,87567
90164,0,-1,60380
33093,0,0,8834
45166,0,0,27452
15546,0,0,20587
77900,1,0,67823
68223,0,0,28836
63063,0,-1,24542
84151,0,-1,61397
76423,1,0,28906
83874,0,0,97673
28906,0,0,93179
97673,0,0,22464
93179,0,-1,99071
81466,1,0,51809
12279,1,0,83359
21019,1,0,86410
32085,0,0,51867
89449,1,0,72923
51809,1,0,38285
83359,0,0,18380
86410,0,0,11165
55300,0,-1,56474
17161,0,0,44508
32917,1,0,88847
33862,0,0,20258
2569,0,0,52995
4762,0,-1,52708
9882,0,0,73328
32113,0,-1,94759
94060,0,0,83159
42013,0,-1,62254
81466,1,0,51809
12279,0,0,46098
21019,1,0,86410
32085,1,0,13804
89449,1,0,72923
51809,1,0,38285
46098,0,-1,91578
29915,1,0,3157
22545,0,0,25078
88315,2,0,39351
40170,0,0,13308
17020,0,0,71188
87244,0,-1,85260
35870,0,0,70891
17410,2,0,72569
85729,0,0,9367
75041,0,0,20911
28107,0,-1,14867
66603,0,-1,33065
81466,1,0,51809
12279,0,0,46098
21019,1,0,86410
32085,1,0,13804
89449,1,0,72923
51809,1,0,38285
46098,0,-1,16066
54403,0,0,64203
85920,1,0,44012
85121,0,0,15009
3418,0,0,74023
75406,0,-1,23954
95998,0,0,36983
38821,0,-1,7444
77028,0,-1,70241
81466,0,0,59168
12279,1,0,83359
21019,1,0,86410
32085,0,0,55300
92882,1,0,60004
1488,0,-1,69010
41723,1,0,19586
58861,0,0,57656
99250,0,0,71593
73750,0,0,80233
49101,1,0,4260
31602,0,0,80628
80014,2,0,385
72658,0,-1,83055
16564,1,0,52060
41808,0,0,24094
7265,0,-1,33351
89743,0,0,33542
33006,0,-1,89476
38062,0,0,85562
59136,1,0,39417
56203,1,0,76982
83621,1,0,49161
95154,0,0,1022
85562,0,0,90160
39417,1,0,76767
76982,1,0,92571
49161,1,0,62492
1022,0,-1,13026
30788,0,-1,19534
5867,0,0,53651
11449,0,0,88097
6468,0,0,40287
79303,0,-1,10358
97422,0,0,66549
90101,0,-1,12600
62351,1,0,32694
32051,1,0,64244
40791,1,0,67295
12970,1,0,94689
70334,0,0,15483
44024,1,0,14148
75574,0,0,13128
81158,1,0,13099
8552,0,0,83621
1022,0,-1,13026
7733,0,0,40288
78549,0,-1,87265
43456,0,0,36456
85133,0,0,39272
66460,0,-1,84224
97422,0,0,66549
95966,0,-1,12600
71135,1,0,57830
1948,1,0,73028
10688,1,0,92431
99219,1,0,19825
40231,0,0,43840
98388,0,0,30373
39139,0,0,96496
19741,0,0,88558
81981,1,0,33433
27416,0,0,90713
97469,0,-1,20429
98684,0,-1,96982
99915,0,0,81815
67325,1,0,43084
79078,0,-1,48641
30509,0,0,19608
27362,0,0,46464
19608,0,-1,73973
34777,1,0,21472
20829,0,0,71709
98962,1,0,19741
87493,1,0,8272
99026,1,0,86623
2538,0,0,5785
64134,0,0,69585
93450,0,0,12938
81981,1,0,33433
17935,0,0,6354
5785,0,0,34023
69585,0,-1,54020
81456,0,-1,5428
84285,1,0,43692
97469,0,-1,86798
50244,0,0,55015
20734,0,0,39836
55015,0,-1,41736
82913,1,0,69608
30078,1,0,1158
22466,0,0,75729
94141,1,0,14747
35153,1,0,57514
52752,1,0,22876
84302,0,0,87719
83012,0,0,9262
49161,0,0,68190
73774,0,0,9755
56863,0,0,82856
92346,0,-1,16810
27690,1,0,12070
38980,0,0,46866
91051,0,-1,15062
66460,0,-1,84224
42647,0,-1,73973
31850,1,0,2193
62663,1,0,33743
71403,1,0,36794
43582,1,0,64188
84594,1,0,6955
2193,0,0,37618
64570,1,0,67406
67621,0,0,98962
8272,0,0,17579
17935,0,0,6354
97469,0,-1,20429
41526,0,0,9095
15237,0,0,43475
58527,0,0,73258
72658,0,-1,83055
79303,0,-1,10358
42647,0,-1,73973
34777,1,0,21472
20829,0,0,71709
98962,1,0,19741
87493,1,0,8272
99026,1,0,86623
2538,0,0,5785
64134,0,0,69585
93450,1,0,39601
81981,0,0,86971
17935,1,0,69144
5785,0,0,34023
69585,0,-1,54020
4486,0,0,95039
17368,0,-1,51561
20911,0,0,87694
81667,0,0,94912
7450,0,-1,99648
69688,0,-1,13810
84899,0,0,42607
18253,1,0,50446
26993,1,0,53497
15524,1,0,80891
56536,1,0,40010
42607,0,-1,32911
5624,0,0,68223
88203,0,0,26762
73258,1,0,38624
79733,0,0,72658
60821,0,0,75900
26762,0,0,80628
38624,1,0,54489
72658,0,-1,83055
1347,0,-1,10358
30509,0,0,19608
27362,0,0,46464
19608,0,-1,73973
81466,0,0,59168
12279,1,0,83359
21019,1,0,86410
32085,1,0,13804
89449,1,0,72923
59168,0,-1,1923
74636,1,0,52499
91774,0,0,17902
39619,1,0,81383
38820,2,0,89880
52499,0,0,90051
21335,0,-1,59860
93017,0,0,54742
56634,0,0,96220
9230,0,-1,15567
94780,0,0,59973
80232,0,0,12217
59973,0,0,34079
12217,0,-1,83568
14823,1,0,46279
45636,1,0,16716
54376,0,0,67874
87493,1,0,8272
99026,1,0,86623
2538,1,0,77365
43289,1,0,80639
67874,0,0,66026
81981,0,0,86971
17935,0,0,6354
20499,0,0,66432
54348,0,0,42767
66026,0,0,51521
86971,0,-1,95512
4762,0,-1,52708
59321,0,-1,81270
17901,0,-1,82155
81466,0,0,13226
66337,1,0,98530
75077,1,0,40468
47256,0,0,82863
